,Country Name,Country Code
0,Afghanistan,AFG
71,Albania,ALB
142,Algeria,DZA
213,Andorra,AND
284,Angola,AGO
355,Antigua and Barbuda,ATG
426,Argentina,ARG
497,Armenia,ARM
568,Australia,AUS
639,Austria,AUT
710,Azerbaijan,AZE
781,"Bahamas, The",BHS
852,Bahrain,BHR
923,Bangladesh,BGD
994,Barbados,BRB
1065,Belarus,BLR
1136,Belgium,BEL
1207,Belize,BLZ
1278,Benin,BEN
1349,Bhutan,BTN
1420,Bolivia,BOL
1491,Bosnia and Herzegovina,BIH
1562,Botswana,BWA
1633,Brazil,BRA
1704,Brunei Darussalam,BRN
1775,Bulgaria,BGR
1846,Burkina Faso,BFA
1917,Burundi,BDI
1988,Cabo Verde,CPV
2059,Cambodia,KHM
2130,Cameroon,CMR
2201,Canada,CAN
2272,Central African Republic,CAF
2343,Chad,TCD
2414,Chile,CHL
2485,China,CHN
2556,Colombia,COL
2627,Comoros,COM
2698,"Congo, Dem. Rep.",COD
2769,"Congo, Rep.",COG
2840,Costa Rica,CRI
2911,Cote d'Ivoire,CIV
2982,Croatia,HRV
3053,Cuba,CUB
3124,Cyprus,CYP
3195,Czechia,CZE
3266,Denmark,DNK
3337,Djibouti,DJI
3408,Dominica,DMA
3479,Dominican Republic,DOM
3550,East Asia & Pacific (IDA & IBRD),TEA
3621,Ecuador,ECU
3692,"Egypt, Arab Rep.",EGY
3763,El Salvador,SLV
3834,Equatorial Guinea,GNQ
3905,Eritrea,ERI
3976,Estonia,EST
4047,Eswatini,SWZ
4118,Ethiopia,ETH
4189,Europe & Central Asia (IDA & IBRD),TEC
4260,Fiji,FJI
4331,Finland,FIN
4402,France,FRA
4473,Gabon,GAB
4544,"Gambia, The",GMB
4615,Georgia,GEO
4686,Germany,DEU
4757,Ghana,GHA
4828,Greece,GRC
4899,Grenada,GRD
4970,Guatemala,GTM
5041,Guinea,GIN
5112,Guinea-Bissau,GNB
5183,Guyana,GUY
5254,Haiti,HTI
5325,Honduras,HND
5396,Hungary,HUN
5467,IBRD only,IBD
