,Country_Code,Series_Code,Year,Value
0,AFG,EG.CFT.ACCS.ZS,2003,10
1,AFG,EG.ELC.ACCS.ZS,2003,18.9711647
2,AFG,NY.ADJ.DRES.GN.ZS,2003,..
3,AFG,NY.ADJ.DFOR.GN.ZS,2003,..
4,AFG,AG.LND.AGRI.ZS,2003,58.08380479
5,AFG,NV.AGR.TOTL.ZS,2003,37.41885544
6,AFG,ER.H2O.FWTL.ZS,2003,43.01590668
7,AFG,SI.SPR.PCAP.ZG,2003,..
8,AFG,SH.DTH.COMM.ZS,2003,..
9,AFG,SL.TLF.0714.ZS,2003,..
10,AFG,EN.ATM.CO2E.PC,2003,0.073004968
11,AFG,EN.CLC.CSTP.ZS,2003,..
12,AFG,CC.EST,2003,-1.344179749
13,AFG,EN.CLC.CDDY.XD,2003,1776.66
14,AFG,SD.ESR.PERF.XQ,2003,..
15,AFG,EG.ELC.COAL.ZS,2003,..
16,AFG,EG.IMP.CONS.ZS,2003,..
17,AFG,EG.EGY.PRIM.PP.KD,2003,1.4
18,AFG,EG.USE.PCAP.KG.OE,2003,..
19,AFG,SP.DYN.TFRT.IN,2003,7.22
20,AFG,AG.PRD.FOOD.XD,2003,76.77
21,AFG,AG.LND.FRST.ZS,2003,1.852781994
22,AFG,EG.USE.COMM.FO.ZS,2003,..
23,AFG,NY.GDP.MKTP.KD.ZG,2003,8.832277813
24,AFG,EN.CLC.GHGR.MT.CE,2003,..
25,AFG,SI.POV.GINI,2003,..
26,AFG,GE.EST,2003,-1.175768018
27,AFG,SE.XPD.TOTL.GB.ZS,2003,..
28,AFG,EN.CLC.HEAT.XD,2003,2.35
29,AFG,EN.CLC.HDDY.XD,2003,5652.11
30,AFG,SH.MED.BEDS.ZS,2003,0.39
31,AFG,SI.DST.FRST.20,2003,..
32,AFG,IT.NET.USER.ZS,2003,0.087891253
33,AFG,SL.TLF.ACTI.ZS,2003,47.991
34,AFG,EN.LND.LTMP.DC,2003,28.8740819
35,AFG,ER.H2O.FWST.ZS,2003,54.75701944
36,AFG,SP.DYN.LE00.IN,2003,57.344
37,AFG,SE.ADT.LITR.ZS,2003,..
38,AFG,EN.MAM.THRD.NO,2003,..
39,AFG,EN.ATM.METH.PC,2003,0.463982407
40,AFG,SH.DYN.MORT,2003,117
41,AFG,SM.POP.NETM,2003,388632
42,AFG,EN.ATM.NOXE.PC,2003,0.163109605
43,AFG,IP.PAT.RESD,2003,..
44,AFG,SH.H2O.SMDW.ZS,2003,12.90992153
45,AFG,SH.STA.SMSS.ZS,2003,..
46,AFG,EN.ATM.PM25.MC.M3,2003,..
47,AFG,PV.EST,2003,-2.198372364
48,AFG,SP.POP.65UP.TO.ZS,2003,2.293912643
49,AFG,EN.POP.DNST,2003,34.71954679
50,AFG,SI.POV.NAHC,2003,..
51,AFG,SH.STA.OWAD.ZS,2003,15.6
52,AFG,SN.ITK.DEFC.ZS,2003,39
53,AFG,EN.H2O.BDYS.ZS,2003,..
54,AFG,SG.GEN.PARL.ZS,2003,..
55,AFG,SL.TLF.CACT.FM.ZS,2003,19.93218359
56,AFG,RQ.EST,2003,-1.463107824
57,AFG,EG.ELC.RNEW.ZS,2003,70.24972856
58,AFG,EG.FEC.RNEW.ZS,2003,36.66
59,AFG,GB.XPD.RSDV.GD.ZS,2003,..
60,AFG,RL.EST,2003,-1.5582937
61,AFG,SE.PRM.ENRR,2003,96.55368042
62,AFG,SE.ENR.PRSC.FM.ZS,2003,0.544260025
63,AFG,IP.JRN.ARTC.SC,2003,7.34
64,AFG,EN.CLC.SPEI.XD,2003,0.604204841
65,AFG,IC.LGL.CRED.XQ,2003,..
66,AFG,ER.PTD.TOTL.ZS,2003,..
67,AFG,AG.LND.FRLS.HA,2003,244
68,AFG,SL.UEM.TOTL.ZS,2003,7.929
69,AFG,SP.UWT.TFRT,2003,..
70,AFG,VA.EST,2003,-1.177571177
71,ALB,EG.CFT.ACCS.ZS,2003,46.5
72,ALB,EG.ELC.ACCS.ZS,2003,99.38562775
73,ALB,NY.ADJ.DRES.GN.ZS,2003,0.312900237
74,ALB,NY.ADJ.DFOR.GN.ZS,2003,0.061352483
75,ALB,AG.LND.AGRI.ZS,2003,40.91240876
76,ALB,NV.AGR.TOTL.ZS,2003,21.97825708
77,ALB,ER.H2O.FWTL.ZS,2003,5.857918216
78,ALB,SI.SPR.PCAP.ZG,2003,..
79,ALB,SH.DTH.COMM.ZS,2003,..
80,ALB,SL.TLF.0714.ZS,2003,..
81,ALB,EN.ATM.CO2E.PC,2003,1.361158778
82,ALB,EN.CLC.CSTP.ZS,2003,..
83,ALB,CC.EST,2003,-0.853786588
84,ALB,EN.CLC.CDDY.XD,2003,931.89
85,ALB,SD.ESR.PERF.XQ,2003,..
86,ALB,EG.ELC.COAL.ZS,2003,0
87,ALB,EG.IMP.CONS.ZS,2003,49.01463468
88,ALB,EG.EGY.PRIM.PP.KD,2003,3.8
89,ALB,EG.USE.PCAP.KG.OE,2003,648.1683871
90,ALB,SP.DYN.TFRT.IN,2003,1.978
91,ALB,AG.PRD.FOOD.XD,2003,69.05
92,ALB,AG.LND.FRST.ZS,2003,28.21645985
93,ALB,EG.USE.COMM.FO.ZS,2003,64.52837122
94,ALB,NY.GDP.MKTP.KD.ZG,2003,5.528637465
95,ALB,EN.CLC.GHGR.MT.CE,2003,..
96,ALB,SI.POV.GINI,2003,..
97,ALB,GE.EST,2003,-0.563986719
98,ALB,SE.XPD.TOTL.GB.ZS,2003,..
99,ALB,EN.CLC.HEAT.XD,2003,0
100,ALB,EN.CLC.HDDY.XD,2003,4571.08
101,ALB,SH.MED.BEDS.ZS,2003,3.07
102,ALB,SI.DST.FRST.20,2003,..
103,ALB,IT.NET.USER.ZS,2003,0.971900415
104,ALB,SL.TLF.ACTI.ZS,2003,65.791
105,ALB,EN.LND.LTMP.DC,2003,20.3127449
106,ALB,ER.H2O.FWST.ZS,2003,9.469831731
107,ALB,SP.DYN.LE00.IN,2003,76.142
108,ALB,SE.ADT.LITR.ZS,2003,..
109,ALB,EN.MAM.THRD.NO,2003,..
110,ALB,EN.ATM.METH.PC,2003,1.175208895
111,ALB,SH.DYN.MORT,2003,22.9
112,ALB,SM.POP.NETM,2003,-57308
113,ALB,EN.ATM.NOXE.PC,2003,0.431771606
114,ALB,IP.PAT.RESD,2003,..
115,ALB,SH.H2O.SMDW.ZS,2003,48.88544575
116,ALB,SH.STA.SMSS.ZS,2003,28.33333373
